名称,价格（元/晚）,地址,特点,已购人数,评分,收藏,简评,评价
U家快捷酒店(西安凤城六路店),111,"[西安高铁站火车北站/西安市政中心]
凤城六路东段388号银池花香丽舍小区北门


地图


街景",商务出行,63,2.8?,7,一般般,吃饭方便
和颐酒店(西安市政府店),222,"[西安高铁站火车北站/西安市政中心]
凤城九路与文景路交汇口西北角中央领郡


地图",商务出行,201,4.4?,15,挺好哒,离高铁站近
西安时光留声公寓式酒店(泊客公寓店),214,"[西安市高新技术开发区]
高新路89号云顶园泊客公寓25F(中信银行楼上)


地图


街景",亲子酒店,323,4.8?,18,棒极了,性价比高
西安老地方1719精品酒店,164,"[钟鼓楼/回民街/市中心]
大差市万达新天地2单元7楼(省四院对面)


地图


街景",浪漫情侣,163,4.5?,19,棒极了,地理位置好
金地假日酒店(西安赛高店),151,"[市图书馆/凤城二路]
未央路与凤城五路交叉口西南角未央路150号赛高街区3号楼


地图


街景",商务出行,337,3.9?,20,还不错,价格实惠
西安悦诚商务酒店,97,"[城西]
沣镐东路30号(西安饭庄旁)


地图


街景",浪漫情侣,341,4.3?,2,挺好哒,性价比高
西安青柚假日酒店,180,"[未央区]
北二环中段366号


地图


街景",商务出行,144,4.8?,5,棒极了,前台热情
西安春熙乐茂商务酒店,146,"[电子城/电子正街]
朱雀大街南段60号(天伦明珠四楼)


地图


街景",大学周边,194,4.2?,9,挺好哒,服务态度好
西安月季花公寓,376,"[小寨/历史博物馆]
长安大街3号CASA公寓


地图",地铁周边,61,5.0?,10,棒极了,交通便利
西安天辰大酒店,189,"[城西]
西安莲湖区大庆路与汉城南路十字东北角，59路公交终点


地图",地铁周边,74,3.9?,11,还不错,设施设备好
速8酒店(西安北三环大明宫高铁站店),107,"[西安高铁站火车北站/西安市政中心]
太华路与北三环十字西南角


地图


街景",商务出行,381,4.0?,12,挺好哒,性价比高
西安牧涯与秦川公寓,291,"[小寨/历史博物馆]
西安碑林区长安大街3号


地图",地铁周边,89,5.0?,14,棒极了,设施齐全
西安创逸精品酒店,389,"[电视塔/国展中心]
雁展路1438号


地图",浪漫情侣,109,4.4?,15,挺好哒,前台热情
西安仟百度酒店,135,"[灞桥区]
狄寨街办潘村一组39号


地图",大学周边,50,4.8?,18,棒极了,老板热情
西安汉唐居精品酒店,29,"[钟鼓楼/回民街/市中心]
新城广场南侧南长巷32号


地图",地铁周边,63,4.9?,19,棒极了,吃饭方便
西安鑫都大酒店,133,"[高新管委会/绿地会展中心]
郭杜镇西沣公路北段1号


地图


街景",会议酒店,248,3.8?,20,还不错,性价比高
澳城商旅公寓酒店(西安会展中心店),183,"[电视塔/国展中心]
长安南路86号澳城大厦2号楼西侧A03商铺


地图


街景",商务出行,417,4.6?,4,棒极了,性价比高
西安机场福瑞宾馆,93,"[咸阳国际机场]
咸阳机场海航基地西300米


地图


街景",机场周边,306,4.8?,5,棒极了,转机方便
西安甜心主题公寓酒店,184,"[小寨/历史博物馆]
中贸广场15号楼三单元2214室


地图",地铁周边,8,5.0?,11,棒极了,老板热情
西安安洁快捷酒店,434,"[小寨/历史博物馆]
长安中路111号嘉汇大厦17楼


地图


街景",大学周边,26,2.6?,12,一般般,出行方便
西安枫林晚商务酒店(周至),143,"[周至县]
周至县中心东街紫瑞大厦8-12层


地图",浪漫情侣,74,4.3?,14,挺好哒,性价比高
西安西唐青年旅舍,40,"[钟鼓楼/回民街/市中心]
书院门33号


地图",浪漫情侣,669,4.7?,15,棒极了,离城墙近
西安钟楼潮曼公寓酒店,136,"[钟鼓楼/回民街/市中心]
北大街宏府嘉会公寓A座8019室


地图",地铁周边,171,4.7?,16,棒极了,老板热情
舒馨公寓(西安北客站长乐东苑店)(原舒馨宾馆(北客站长乐东苑店)),58,"[西安高铁站火车北站/西安市政中心]
尚新路长乐东A区2号楼


地图",交通枢纽,64,4.6?,18,棒极了,老板热情
西安龙安快捷酒店,135,"[小寨/历史博物馆]
健康东路44号


地图


街景",大学周边,771,3.8?,20,还不错,服务态度好
西安西圃民宿,88,"[钟鼓楼/回民街/市中心]
书院门大吉昌巷9幢10202


地图",地铁周边,5,5.0?,1,棒极了,吃饭方便
西安万宇民宿酒店,194,"[钟鼓楼/回民街/市中心]
青年路141号


地图",地铁周边,61,5.0?,5,棒极了,老板热情
西安小米时尚酒店,126,"[城南/李家村万达广场]
雁塔路北段一号李家村万达对面


地图


街景",大学周边,204,3.4?,8,一般般,交通便利
陕西唐都温泉酒店,165,"[钟鼓楼/回民街/市中心]
太乙路289号


地图


街景",会议酒店,56,5.0?,9,棒极了,温泉不错
西安如遇美宿酒店公寓南门店,262,"[城南/小雁塔旅游区]
围墙巷南门望城小区


地图",地铁周边,15,5.0?,12,棒极了,吃饭方便
福客来商务宾馆(西安咸阳国际机场店),91,"[咸阳国际机场]
咸阳国际机场海航基地西100米处


地图


街景",机场周边,947,4.8?,13,棒极了,老板热情
初见花开青年旅舍(西安钟鼓楼回民街店),20,"[钟鼓楼/回民街/市中心]
大莲花池街21号


地图",地铁周边,44,5.0?,14,棒极了,设施齐全
西安大明宫太空舱胶囊公寓(原尚俭太空舱公寓),29,"[北关/龙首村]
北关自强东路向荣巷吉祥茗居1603室


地图",浪漫情侣,79,4.9?,16,棒极了,老板热情
西安温馨宾馆(凤城三路店),54,"[大明宫万达/大明宫遗址公园]
凤城二路十字东北角天地时代广场C座207室


地图",地铁周边,40,4.0?,17,挺好哒,离火车站近
西安朝阳居青年旅舍,24,"[钟鼓楼/回民街/市中心]
东六路建设巷14号西门


地图",地铁周边,77,4.0?,18,挺好哒,离火车站近
乐佳酒店(西安新界店),135,"[西安高铁站火车北站/西安市政中心]
凤城六路新界小区停车场入口才处


地图",商务出行,11,4.1?,3,挺好哒,吃饭方便
西安雅轩驿酒店,105,"[未央区]
天台五路与天台路交叉口西南角


地图


街景",会议酒店,143,4.2?,4,挺好哒,性价比高
西安彗星公寓,125,"[纺织城]
堡子村东辰濠星小区1203室


地图",地铁周边,6,3.4?,6,一般般,吃饭方便
西安天美酒店连锁(建设路店),214,"[大雁塔/曲江旅游区]
建设西路65号新旅程五号楼2单元1213室


地图


街景",大学周边,228,4.7?,7,棒极了,出行方便
西安藤梨主题酒店,124,"[周至县]
西安周至县镇东什字西北角商贸大厦七八层


地图",浪漫情侣,42,3.5?,8,还不错,吃饭方便
如家酒店(西安钟楼东大街大差市地铁站第四医院店),136,"[钟鼓楼/回民街/市中心]
东大街239号,第四医院东侧200米


地图


街景",交通枢纽,950,4.6?,10,棒极了,出行方便
都市春天酒店(原西安钟楼国际青年旅舍),256,"[钟鼓楼/回民街/市中心]
钟楼盘道东北角北大街1号


地图


街景",浪漫情侣,2027,4.1?,11,挺好哒,地理位置好
秦骊宾馆(西安火车站店),66,"[解放路万达广场/火车站]
西七路100号


地图",地铁周边,49,4.1?,12,挺好哒,离火车站近
西安美佳公寓,98,"[西安高铁站火车北站/西安市政中心]
元朔路西安北站东750米长乐东苑A区1栋21楼


地图


街景",商务出行,1390,4.8?,13,棒极了,离高铁站近
捌零捌青年旅舍(西安火车站店),23,"[钟鼓楼/回民街/市中心]
环城北路东立大厦A座6层


地图",商务出行,146,4.8?,14,棒极了,离火车站近
西安圣杰宾馆,102,"[咸阳国际机场]
咸阳国际机场海航基地向西100米


地图",休闲度假,958,4.5?,15,棒极了,老板热情
西安小蝴蝶公寓,86,"[西安高铁站火车北站/西安市政中心]
元朔路长乐东苑A区4号楼1805


地图",商务出行,69,5.0?,18,棒极了,老板热情
汉庭酒店(西安北大街地铁站店)(原钟楼北店),191,"[钟鼓楼/回民街/市中心]
莲湖路18号(北大街莲湖路十字西侧200米)


地图


街景",地铁周边,1749,4.6?,19,棒极了,地理位置好
西安蓼汀精品民宿,257,"[大雁塔/曲江旅游区]
长安大街三号写字楼B座B909


地图",地铁周边,152,4.9?,1,棒极了,老板热情
西安耿氏酒店,127,"[咸阳国际机场]
西咸新区新城北社街道办事处边方村B区5排西四户


地图",机场周边,26,5.0?,2,棒极了,吃饭方便
西安集美家民宿,334,"[小寨/历史博物馆]
二环南路西段64号凯德汇豪云邸公寓24楼


地图",大学周边,6,5.0?,3,棒极了,吃饭方便
西安佳源公寓酒店,86,"[城南/小雁塔旅游区]
友谊路华豪丽晶1310


地图",大学周边,2,4.8?,4,棒极了,吃饭方便
西安景天旅馆,115,"[电视塔/国展中心]
长安南路会展中心地铁站D口向北100米


地图",地铁周边,36,3.5?,7,还不错,性价比高
西安鼎盛宾馆,105,"[灞桥区]
思源商业街思源学院东门


地图",大学周边,10,3.8?,11,还不错,吃饭方便
西安鱼子酱青年旅舍,23,"[钟鼓楼/回民街/市中心]
西安市莲湖区回民街二府街中段(二府街小学向西50米)


地图",浪漫情侣,153,4.9?,13,棒极了,离美食街近
好家快捷酒店(西安火车站店),104,"[解放路万达广场/火车站]
解放路于西八路口十字西南角陆港公寓8楼大厅


地图


街景",地铁周边,1386,3.8?,14,还不错,离火车站近
西安北站阳光公寓,68,"[西安高铁站火车北站/西安市政中心]
尚新路长乐东苑c区6B-3201


地图


街景",园林建筑,129,4.8?,15,棒极了,离高铁站近
西安豪享来温德姆至尊公寓,2327,"[大雁塔/曲江旅游区]
慈恩东路398号


地图",亲子酒店,372,4.9?,16,棒极了,位置优越
蓝田万豪主题酒店,154,"[蓝田县]
西安蓝田县蓝新路和青羊路交叉处


地图",浪漫情侣,27,3.2?,5,一般般,服务态度好
西安钟楼清怡公寓酒店,368,"[钟鼓楼/回民街/市中心]
钟楼北大街宏府嘉会广场C座13058室


地图


街景",亲子酒店,1691,4.9?,7,棒极了,老板热情
西安罗曼蒂克酒店,223,"[电视塔/国展中心]
长安南路象牙公寓北侧4F


地图",浪漫情侣,80,4.0?,8,挺好哒,出行方便
西安酷森酒店,112,"[城西]
劳动路123号(地铁一号线劳动路站向南100 米路东)


地图


街景",地铁周边,488,3.8?,18,还不错,性价比高
西安世家快捷酒店回民街北大街地铁站店,106,"[钟鼓楼/回民街/市中心]
西安莲湖区莲湖路45号(莲湖公园东门)


地图",地铁周边,24,4.1?,1,挺好哒,吃饭方便
西安国友商务酒店,115,"[泾渭新区]
龙凤园东门


地图


街景",商务出行,125,4.2?,2,挺好哒,性价比高
西安老孙家客栈,175,"[钟鼓楼/回民街/市中心]
西羊市40号


地图",设计师酒店,132,4.6?,3,棒极了,出行方便
西安悦享居精品公寓酒店,224,"[北关/龙首村]
龙首北路宫园壹号二期2号楼4单元1005室


地图",地铁周边,36,5.0?,4,棒极了,离地铁站近
雅居连锁酒店(西安大明宫万达店),193,"[大明宫万达/大明宫遗址公园]
西安未央区大明宫万达广场4号楼25楼15号


地图",浪漫情侣,25,4.1?,8,挺好哒,吃饭方便
小寨柠檬青年旅舍(西安大雁塔店)(原小寨98青年旅舍),41,"[小寨/历史博物馆]
小寨东路一又二分之一国际公寓B座21114


地图",地铁周边,11,4.1?,9,挺好哒,吃饭方便
海燕公寓(西安北客站店),86,"[西安高铁站火车北站/西安市政中心]
汇通太古城青都新界2号楼2单元2304


地图


街景",浪漫情侣,85,4.3?,10,挺好哒,离高铁站近
华驿酒店(西安西影路店),151,"[雁塔区]
西影路8号等驾坡


地图",商务出行,38,3.8?,11,还不错,吃饭方便
西安兰庭商务宾馆,103,"[咸阳国际机场]
北杜街办边方村B6排东三户


地图",机场周边,337,4.8?,12,棒极了,接送机方便
西安中天公寓酒店,96,"[北关/龙首村]
未央路印象城旁龙首塬社区2号楼西单元18楼


地图",地铁周边,74,5.0?,14,棒极了,出行方便
美宜家商务酒店(西安临潼店),108,"[兵马俑旅游区]
人民路与文化路交叉口向西100米


地图


街景",商务出行,130,4.1?,20,挺好哒,服务态度好
尚俭太空舱公寓(西安小寨省体店),42,"[小寨/历史博物馆]
长安北路41号嘉怡豪庭二单元17层1701号


地图


街景",地铁周边,16,5.0?,2,棒极了,吃饭方便
西安古城里青年旅舍,20,"[城南/小雁塔旅游区]
西安碑林区南关正街95号嘉馨园小区4单元441室


地图",地铁周边,1,5.0?,5,棒极了,吃饭方便
西安钟楼古城印象公寓酒店回民街店,156,"[钟鼓楼/回民街/市中心]
北大街宏府嘉会广场A座10025


地图",地铁周边,81,5.0?,7,棒极了,老板热情
西安鑫兴雅居公寓,105,"[城东/西京医院/小商品批发市场]
兴庆路兴庆雅居1单元1406室


地图


街景",地铁周边,58,5.0?,8,棒极了,老板热情
西安钟楼锦江公寓酒店,165,"[钟鼓楼/回民街/市中心]
北大街宏府嘉会B座10楼1010


地图",浪漫情侣,37,3.8?,12,还不错,老板热情
西安新康招待所火车站店,76,"[钟鼓楼/回民街/市中心]
解放路与东七路十字向东100米路北


地图",地铁周边,29,4.9?,13,棒极了,吃饭方便
西安37度青年旅舍,37,"[钟鼓楼/回民街/市中心]
宏府嘉会C座8楼8047


地图",地铁周边,23,3.7?,15,还不错,吃饭方便
西安钟楼米花公寓酒店,217,"[钟鼓楼/回民街/市中心]
宏府嘉会广场A座8层8047(，咖姆电梯上楼)


地图


街景",购物便捷,862,4.2?,16,挺好哒,老板热情
乐天商务酒店(西安咸阳国际机场店),109,"[咸阳国际机场]
西安咸阳国际机场海航基地西侧边方村


地图",机场周边,222,4.7?,19,棒极了,性价比高
西安爱菲尔主题酒店,167,"[城东/交通大学]
北沙坡路兰蒂斯城10301号


地图",浪漫情侣,93,3.4?,20,一般般,服务态度好
途悠悠酒店式主题公寓(西安机场大巴店),197,"[西工大/大唐西市]
劳动南路14号Tiger国际公寓A座26层2607室


地图",浪漫情侣,224,4.9?,2,棒极了,老板热情
西安嘉腾精品公寓酒店,66,"[西安高铁站火车北站/西安市政中心]
太古城青都新界


地图


街景",浪漫情侣,65,3.9?,3,还不错,吃饭方便
佳佳公寓(西安钟楼店),252,"[钟鼓楼/回民街/市中心]
宏府嘉会广场C座12楼43号


地图",地铁周边,31,5.0?,5,棒极了,离美食街近
西安鑫汉商务宾馆,95,"[咸阳国际机场]
边方村B10排


地图",商务出行,36,5.0?,6,棒极了,老板热情
西安尔寓主题酒店,185,"[北关/龙首村]
未央路(北关/龙首村)印象城2幢5层c区


地图",地铁周边,92,4.8?,7,棒极了,设施齐全
西安西蓝岛主题客栈钟楼回民街店,215,"[钟鼓楼/回民街/市中心]
钟楼鼓楼回民街北广济街267号


地图",浪漫情侣,247,4.8?,8,棒极了,卫浴干净
西安雅宜居酒店,126,"[西安市高新技术开发区]
科技路209号新西蓝1期3号楼7层714室


地图",地铁周边,4,2.0?,13,一般般,老板热情
西安风尚公寓酒店,106,"[大雁塔/曲江旅游区]
长安南路东八里新村内4号楼1单元


地图",地铁周边,64,3.6?,14,还不错,老板热情
西安蝶恋酒店,154,"[灞桥区]
潘村一组25号附1号


地图",大学周边,13,4.2?,15,挺好哒,性价比高
眉县太白山印象锦程酒店,506,"[太白山旅游景区]
太白山国际旅游度假区汤峪大道1号


地图",休闲度假,410,4.8?,16,棒极了,温泉不错
钟楼鼓楼回民街精品公寓(西安宏府嘉会店),115,"[钟鼓楼/回民街/市中心]
北大街西华门十字宏府嘉会B座9002室


地图",会议酒店,14,4.2?,17,挺好哒,吃饭方便
金商时代酒店(西安太白南路地铁站店),158,"[西安市高新技术开发区]
吉祥路183号


地图


街景",浪漫情侣,385,4.3?,18,挺好哒,性价比高
西安秀秀民宿,218,"[大雁塔/曲江旅游区]
芙蓉东路,中海碧林湾 2号楼


地图",民居,33,4.9?,19,棒极了,老板热情
西安伊可精品酒店北关安远门地铁站店,94,"[北关/龙首村]
凤凰大厦1楼，安远门地铁口北关十字西南角


地图",地铁周边,43,3.8?,2,还不错,前台热情
西安金朗庭商务酒店,125,"[钟鼓楼/回民街/市中心]
小南门里太阳庙门53号


地图


街景",商务出行,488,4.4?,3,挺好哒,性价比高
天地情情侣主题酒店(西安通化门地铁站店),234,"[城东/西京医院/小商品批发市场]
长乐西路41号


地图",浪漫情侣,138,4.9?,4,棒极了,设计有特色
时代宾馆( 西安纺织城店),58,"[唐都医院/城东客运站]
城东客运站后门向北50米


地图",地铁周边,10,3.4?,6,一般般,吃饭方便
逸家繁星连锁民宿公寓(西安会展中心店),165,"[电视塔/国展中心]
雁塔区电视塔会展中心地铁站A2口长延居


地图",浪漫情侣,34,5.0?,8,棒极了,吃饭方便
巴黎春天快捷酒店(西安建设西路店),204,"[城南/李家村万达广场]
建设西路51号


地图


街景",商务出行,185,4.1?,9,挺好哒,交通便利
西安古城小筑客栈,21,"[钟鼓楼/回民街/市中心]
许士庙街81号(莲湖公园西门往南)


地图",地铁周边,17,4.3?,10,挺好哒,老板热情
西安皇庭商务酒店,92,"[咸阳国际机场]
西安咸阳国际机场T3航站楼西侧


地图",机场周边,424,4.8?,12,棒极了,接送机方便
西安时尚公寓酒店,96,"[大雁塔/曲江旅游区]
长安南路与昌明路十字向东10米(政法大学老校区斜对面)


地图",地铁周边,27,4.9?,13,棒极了,老板热情
西安钟楼汉唐公寓,174,"[钟鼓楼/回民街/市中心]
钟楼站宏府嘉会广场A座13009室


地图",地铁周边,130,4.9?,14,棒极了,出行方便
侣行公寓酒店(西安钟鼓楼回民街店),291,"[钟鼓楼/回民街/市中心]
钟楼北大街宏府嘉会A座1026


地图",地铁周边,654,4.6?,15,棒极了,老板热情
西安古秦客栈兵马俑店,125,"[兵马俑旅游区]
兵马俑秦俑村实田巷3号


地图",亲子酒店,353,4.9?,16,棒极了,老板热情
西安恒泰宾馆(回民街),84,"[钟鼓楼/回民街/市中心]
莲湖区二府街79号


地图


街景",地铁周边,9,5.0?,17,棒极了,吃饭方便
咸阳空港凯博宾馆,96,"[咸阳国际机场]
西安咸阳国际机场海航基地西侧400米


地图",机场周边,38,5.0?,1,棒极了,老板热情
西安叮当酒店公寓,178,"[钟鼓楼/回民街/市中心]
北大街88号假日国际公寓3楼10314市


地图


街景",浪漫情侣,51,4.9?,2,棒极了,老板热情
西安爱客快捷酒店,96,"[长安区]
韦曲北街人来人网网吧对面


地图


街景",地铁周边,51,3.7?,3,还不错,性价比高
西安润8商务宾馆,79,"[咸阳国际机场]
咸阳国际机场T1和T2航站楼之间


地图",机场周边,133,4.7?,4,棒极了,接送机方便
青春公寓酒店(西安雁塔店),76,"[大雁塔/曲江旅游区]
东八里新村2号楼


地图",地铁周边,7,5.0?,5,棒极了,吃饭方便
西安临潼区万佳宾馆,86,"[兵马俑旅游区]
人民东路61号


地图",园林建筑,65,3.9?,6,还不错,服务态度好
西安米亚酒店,151,"[大明宫万达/大明宫遗址公园]
万达广场13号公寓4层(光大银行向内20米)


地图


街景",浪漫情侣,59,4.8?,7,棒极了,服务态度好
西安陶醉room精品酒店,135,"[大明宫万达/大明宫遗址公园]
太华北路大明宫万达广场5号公寓812室


地图


街景",浪漫情侣,67,4.2?,10,挺好哒,老板热情
西安锦绣花园民宿,158,"[大雁塔/曲江旅游区]
后村西路61号乐和公馆1栋3101室


地图",地铁周边,11,5.0?,11,棒极了,老板热情
西安爱尚主题酒店太奥广场店,135,"[莲湖区]
西安莲湖区杏园路太奥广场东门100米白家口丽苑小区西门


地图",浪漫情侣,53,3.7?,14,还不错,位置优越
西安王子精品主题酒店,379,"[西安市高新技术开发区]
科技路西口铂悦1号楼一单元1405室


地图",地铁周边,3,5.0?,17,棒极了,吃饭方便
西安秦兴楼宾馆,94,"[长安区]
西安火车南站


地图",交通枢纽,174,4.0?,18,挺好哒,离南站近
西安爱威尔酒店,221,"[西安市高新技术开发区]
南二环西段411号北侧


地图


街景",休闲度假,425,3.7?,19,还不错,性价比高
西安高新区龙门客栈,49,"[西安市高新技术开发区]
高新区徐家庄195号


地图",地铁周边,6,2.7?,1,一般般,吃饭方便
西安米锐影咖主题酒店,136,"[长安区]
康杜村北路28(长安校区西北大学对面)


地图",浪漫情侣,61,4.1?,2,挺好哒,老板热情
西安钟楼星座公寓酒店(原钟楼简爱公寓酒店),193,"[钟鼓楼/回民街/市中心]
北大街1号宏府嘉会公寓A座5047室


地图",商务出行,152,5.0?,6,棒极了,出行方便
西安车之友快捷酒店,105,"[城东/西京医院/小商品批发市场]
环城东路中段永乐路1号


地图",地铁周边,41,3.9?,8,还不错,服务态度好
西安汉唐驿青年酒店,39,"[钟鼓楼/回民街/市中心]
南长巷7号


地图


街景",地铁周边,178,4.8?,9,棒极了,出行方便
西航商务宾馆(西安西大街店),115,"[钟鼓楼/回民街/市中心]
西大街16号钟楼小区13号楼


地图


街景",地铁周边,88,2.9?,11,一般般,老板热情
西安皇轩酒店,180,"[长安区]
西沣路郭杜新十字南500米路西


地图


街景",商务出行,712,4.4?,12,挺好哒,性价比高
西安舒逸驿站电子科技大学店,98,"[西安市高新技术开发区]
光华路与太白路十字西北角西安电子科技大学内


地图",地铁周边,68,3.6?,13,还不错,吃饭方便
西安盛龙主题酒店,105,"[北关/龙首村]
西安市未央区盛龙广场B区4单元6楼


地图",地铁周边,85,3.6?,14,还不错,出行方便
西安小寨省体天籁青年旅舍,83,"[小寨/历史博物馆]
西安碑林区省体育场东门对面旅游局家属院1号楼1门1楼西


地图",地铁周边,6,5.0?,15,棒极了,吃饭方便
西安裸心町情趣主题酒店,368,"[西安市高新技术开发区]
西安雁塔区科技路50号金桥国际广场B座


地图",地铁周边,30,4.2?,17,挺好哒,吃饭方便
西安避风港家庭公寓,142,"[北关/龙首村]
名京九合院13A号楼A楼4F


地图",地铁周边,28,4.2?,18,挺好哒,服务周到
西安拉奇小屋住宿,218,"[城南/小雁塔旅游区]
永宁路大话南门5号楼


地图",民居,38,4.9?,20,棒极了,老板热情
馨美寓公寓(西安大寨路店),291,"[西安市高新技术开发区]
高新区大寨路6号(近丈八北路地铁站)


地图",园林建筑,149,5.0?,1,棒极了,风景优美
西安华悦公寓式酒店,125,"[西安市高新技术开发区]
高新四路与科技路十字西北角世纪颐园B座408


地图",地铁周边,5,5.0?,2,棒极了,服务态度好
西安泰尔睿途公寓酒店,187,"[城南/小雁塔旅游区]
南稍门中贸广场15号楼3单元1601室


地图",地铁周边,15,3.2?,10,一般般,吃饭方便
西安堃腾宾馆,96,"[长安区]
引镇西安火车南站东南角近汇通路口


地图",火车站周边,48,4.2?,11,挺好哒,离车站近
西安林豪商务宾馆,132,"[电视塔/国展中心]
长安南路196号


地图


街景",会议酒店,156,3.3?,14,一般般,价格实惠
西安同兴宾馆西京医院店,57,"[城东/西京医院/小商品批发市场]
西安市新城区康复路西京医院东50米


地图",交通枢纽,394,2.9?,15,一般般,吃饭方便
西安全城热恋情侣度假屋,194,"[城南/小雁塔旅游区]
长安北路中贸广场15号楼3单元2311号


地图",浪漫情侣,44,4.2?,16,挺好哒,老板热情
西安一城e家,252,"[大雁塔/曲江旅游区]
雁塔区西影路后村小区


地图",会议酒店,15,3.7?,17,还不错,设施齐全
西安成功喜豪酒店,94,"[钟鼓楼/回民街/市中心]
火药局巷1号


地图


街景",商务出行,252,4.8?,18,棒极了,服务态度好
西安名门酒店式公寓,146,"[钟鼓楼/回民街/市中心]
北大街宏府嘉会公寓C座13层13016室


地图",地铁周边,110,5.0?,19,棒极了,设施齐全
西安栖在小舍青年旅舍,49,"[钟鼓楼/回民街/市中心]
南门外地铁2号线永宁门站D2口出，环城南路东段皇廷南院西单元1103


地图",地铁周边,125,5.0?,20,棒极了,老板热情
西安米拉太空舱体验馆,37,"[电视塔/国展中心]
丈八东路1号(曲江八水小区1单元)


地图",地铁周边,120,4.9?,2,棒极了,吃喝玩乐方便
西安银都商务宾馆,95,"[长安区]
韦曲老街9号


地图


街景",地铁周边,145,3.2?,4,一般般,离地铁站近
西安艾丽斯公寓酒店,187,"[城南/小雁塔旅游区]
中贸广场15号楼4单元2414


地图


街景",地铁周边,437,4.6?,5,棒极了,老板热情
枫林湾公寓酒店(西安钟鼓楼回民街店)(原时光笔墨公寓酒店),584,"[钟鼓楼/回民街/市中心]
钟楼北100米宏府嘉会公寓A座10楼10026室


地图",亲子酒店,623,4.8?,6,棒极了,地理位置好
西安天翼公寓酒店,178,"[城南/小雁塔旅游区]
华豪丽晶1号楼912室


地图


街景",大学周边,60,4.8?,7,棒极了,老板热情
格兰德公寓酒店(西安高新区绿地笔克店)(原锦业路店),248,"[高新管委会/绿地会展中心]
锦业路绿地中央广场七克拉晶座大厦3楼


地图",浪漫情侣,117,4.8?,9,棒极了,设施齐全
西安秦都公寓酒店,166,"[电视塔/国展中心]
长安南路与南三环交叉口


地图",地铁周边,194,4.2?,10,挺好哒,老板热情
途窝假日酒店(西安沣峪口景区店),140,"[长安区]
东大街道罗汉洞村44号


地图",休闲度假,279,4.8?,11,棒极了,服务周到
西安帝豪假日公寓,135,"[城南/小雁塔旅游区]
华豪丽晶3号2单元1507


地图


街景",大学周边,61,4.0?,13,挺好哒,老板热情
玲珑宾馆(西安尚德路店),66,"[钟鼓楼/回民街/市中心]
尚德路68号市体育场东门口


地图


街景",地铁周边,16,3.3?,15,一般般,吃饭方便
西安行舟驿站求职公寓,25,"[小寨/历史博物馆]
草场坡翡翠明珠2号楼1302室


地图",地铁周边,10,3.8?,16,还不错,吃饭方便
西安全城热恋情侣度假屋五路口地铁站店,205,"[解放路万达广场/火车站]
解放路77号皇城壹号614室(五路口地铁站C口出南)


地图",浪漫情侣,25,4.1?,17,挺好哒,老板热情
西安皇廷温泉酒店,145,"[大明宫万达/大明宫遗址公园]
凤城一路与贞观路十字向东200米路南


地图


街景",温泉酒店,77,3.7?,18,还不错,性价比高
西安金百合宾馆,57,"[北关/龙首村]
北关正街19号天宝安远小区1号楼1-1105室


地图",地铁周边,11,3.3?,19,一般般,吃饭方便
西安金凯瑞民宿,106,"[城南/小雁塔旅游区]
友谊西路华豪丽晶黄东社区1号楼2104室


地图


街景",大学周边,16,3.3?,20,一般般,交通便利
西安琪琪商务宾馆,150,"[市图书馆/凤城二路]
文景路11号星舍大厦一楼(长安银行院内)


地图


街景",浪漫情侣,116,4.1?,1,挺好哒,性价比高
西安乐遇酒店-龙首北路店,136,"[北关/龙首村]
西安未央区龙首北路63号


地图",浪漫情侣,99,4.2?,7,挺好哒,服务态度好
西安庭院宾馆长乐坡店,84,"[纺织城]
西安灞桥区长乐东路沁水新城


地图",地铁周边,95,3.5?,8,还不错,服务态度好
西安丸子家青年旅舍,47,"[北关/龙首村]
农兴路5号4号楼1单元401


地图",地铁周边,41,5.0?,9,棒极了,设施齐全
逸家繁星连锁民宿(西安南稍门店),379,"[小寨/历史博物馆]
草场坡甲字50号翡翠明珠小区，近南稍门地铁站


地图",地铁周边,8,5.0?,10,棒极了,吃饭方便
西安钟楼希美精品公寓,1085,"[钟鼓楼/回民街/市中心]
北大街宏府嘉会公寓B座


地图",地铁周边,57,5.0?,14,棒极了,老板热情
西安逸家精品酒店,683,"[城南/小雁塔旅游区]
小寨西路232号MOMOPARK5号楼13层1308室


地图",地铁周边,121,5.0?,16,棒极了,老板热情
青巢岁月青年旅舍(西安李家村万达店),29,"[城南/李家村万达广场]
李家村万达中铁一局西院


地图",大学周边,2,5.0?,17,棒极了,吃饭方便
周至爱在路上酒店,335,"[周至县]
南大门南1公里沙河中国第一水街景区内


地图",浪漫情侣,566,4.7?,20,棒极了,环境优雅
西安新疆饭店,178,"[钟鼓楼/回民街/市中心]
尚德路红会巷3号新疆办事处


地图",商务出行,129,4.2?,2,挺好哒,出行方便
敦临世家精品酒店公寓(西安钟鼓楼店)(原逸朵主题公寓酒店),248,"[西稍门/机场大巴站]
玉祥门外恒天国际城A座，近地铁口C口


地图",浪漫情侣,33,4.9?,3,棒极了,老板热情
西安双建酒店,87,"[唐都医院/城东客运站]
新寺路38号


地图",园林建筑,126,3.4?,5,一般般,服务态度好
西安薇蜜艺术主题酒店,184,"[钟鼓楼/回民街/市中心]
西安新城区北大街西一路金钟大厦A座9层


地图",浪漫情侣,117,3.8?,6,还不错,出行方便
